id,name,unit,keyword,ancestry
66,にんにく,片,"ニンニク,ﾆﾝﾆｸ",4
67,わさび,g,"山葵,ワサビ,ﾜｻﾋﾞ",4
68,しょうが,欠片,"生姜,ショウガ,ｼｮｳｶﾞ",4
69,しそ,枚,"紫蘇,シソ,ｼｿ",4
70,みょうが,本,"茗荷,ミョウガ,ﾐｮｳｶﾞ",4
71,おろしにんにく,cm,"にんにくチューブ,ﾁｭｰﾌﾞ,おろし",4
72,おろししょうが,cm,"しょうがチューブ,ﾁｭｰﾌﾞ,おろし",4
73,唐辛子,本,"鷹の爪,とうがらし,トウガラシ,ﾄｳｶﾞﾗｼ",4
74,ゆず,個,"柚子,ユズ,ﾕｽﾞ",4
75,パセリ,g,"ﾊﾟｾﾘ,ハーブ",4
76,ローズマリー,g,"ハーブ,ﾛｰｽﾞﾏﾘｰ",4
77,バジル,g,"ハーブ,ﾊﾞｼﾞﾙ",4
78,みかん,個,"蜜柑,ミカン,ﾐｶﾝ",5
